"C-type lectin receptor signaling pathway","CFTR_interactor","Cytokine-cytokine receptor interaction","Cytosolic DNA-sensing pathway","dorothea_tf","Estrogen signaling pathway","IL-17 signaling pathway","name","NF-kappa B signaling pathway","NOD-like receptor signaling pathway","Node_type","Osteoclast differentiation","pathway","receptor","receptor_ligand","Regulation of actin cytoskeleton","RIG-I-like receptor signaling pathway","selected","shared name","sum","T cell receptor signaling pathway","Th17 cell differentiation","TNF signaling pathway","Toll-like receptor signaling pathway","Viral protein interaction with cytokine and cytokine receptor"
"0","NA","0","1","true","0","0","IRF7","0","0","End point - TF","0","NA","false","false","0","1","false","IRF7","3","0","0","0","1","0"
"0","NA","0","0","false","0","0","TLR3","0","0","Receptor","0","Toll-like receptor signaling pathway","true","false","0","0","false","TLR3","1","0","0","0","1","0"
"0","NA","0","0","false","0","0","PAN3","0","1","Protein","0","NOD-like receptor signaling pathway","false","false","0","0","false","PAN3","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","CFLAR","1","0","Protein","0","NA","false","false","0","0","false","CFLAR","2","0","0","1","0","0"
"0","NA","0","0","false","0","0","CARD16","0","1","Protein","0","NOD-like receptor signaling pathway","false","false","0","0","false","CARD16","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","GPRC6A","0","1","Receptor","0","NOD-like receptor signaling pathway","true","false","0","0","false","GPRC6A","1","0","0","0","0","0"
"1","NA","0","0","false","0","0","CASP8","0","1","Protein","0","NA","false","false","0","0","false","CASP8","4","0","0","1","1","0"
"0","NA","0","0","false","0","0","MAP3K5","0","0","Protein","0","TNF signaling pathway","false","false","0","0","false","MAP3K5","1","0","0","1","0","0"
"0","NA","0","0","false","0","0","SOCS1","0","0","Protein","1","Osteoclast differentiation","false","false","0","0","false","SOCS1","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","JAK1","0","1","Protein","1","NA","false","false","0","0","false","JAK1","2","0","0","0","0","0"
"0","NA","0","0","false","0","0","ATG16L1","0","1","Protein","0","NOD-like receptor signaling pathway","false","false","0","0","false","ATG16L1","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","PDPK1","0","0","Protein","0","T cell receptor signaling pathway","false","false","0","0","false","PDPK1","1","1","0","0","0","0"
"0","NA","0","0","false","0","0","ATG5","0","1","Protein","0","NOD-like receptor signaling pathway","false","false","0","0","false","ATG5","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","IL27RA","0","0","Receptor","0","Th17 cell differentiation","true","false","0","0","false","IL27RA","1","0","1","0","0","0"
"1","NA","0","0","false","1","0","AKT3","0","0","Protein","1","NA","false","false","0","0","false","AKT3","6","1","0","1","1","0"
"0","NA","0","0","false","0","0","CASP12","0","1","Protein","0","NOD-like receptor signaling pathway","false","false","0","0","false","CASP12","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","MEFV","0","1","Protein","0","NOD-like receptor signaling pathway","false","false","0","0","false","MEFV","1","0","0","0","0","0"
"0","NA","1","0","false","0","0","IL34","0","0","Receptor Ligand","0","NA","false","true","0","0","false","IL34","2","0","0","0","0","1"
"0","NA","0","0","false","0","0","PSTPIP1","0","1","Protein","0","NOD-like receptor signaling pathway","false","false","0","0","false","PSTPIP1","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","MFN1","0","1","Protein","0","NOD-like receptor signaling pathway","false","false","0","0","false","MFN1","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","MAP3K7","1","1","Protein","1","NA","false","false","0","1","false","MAP3K7","7","1","0","1","1","0"
"0","NA","0","0","false","0","0","NLRX1","0","1","Protein","0","NA","false","false","0","1","false","NLRX1","2","0","0","0","0","0"
"0","NA","0","0","false","0","0","MAP2K3","0","0","Protein","0","NA","false","false","0","0","false","MAP2K3","2","0","0","1","1","0"
"0","NA","0","0","false","0","0","MAP2K6","0","0","Protein","1","Osteoclast differentiation","false","false","0","0","false","MAP2K6","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","MLKL","0","0","Protein","0","TNF signaling pathway","false","false","0","0","false","MLKL","1","0","0","1","0","0"
"0","NA","0","0","false","1","0","MAP2K1","0","0","Protein","1","NA","false","false","1","0","false","MAP2K1","6","1","0","1","1","0"
"0","NA","0","0","false","0","0","PGAM5","0","0","Protein","0","TNF signaling pathway","false","false","0","0","false","PGAM5","1","0","0","1","0","0"
"0","NA","0","0","false","0","0","RIPK2","0","1","Protein","0","NOD-like receptor signaling pathway","false","false","0","0","false","RIPK2","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","GPR26","0","0","Receptor","0","Regulation of actin cytoskeleton","true","false","1","0","false","GPR26","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","IL27","0","0","Receptor Ligand","0","Th17 cell differentiation","false","true","0","0","false","IL27","1","0","1","0","0","0"
"0","NA","0","0","false","0","0","TRAF3","1","1","Receptor","0","NA","true","false","0","1","false","TRAF3","4","0","0","0","1","0"
"0","NA","0","0","false","0","0","TAB1","0","1","Protein","0","NA","false","false","0","0","false","TAB1","2","0","0","0","1","0"
"0","NA","0","0","false","0","0","NEK7","0","1","Protein","0","NOD-like receptor signaling pathway","false","false","0","0","false","NEK7","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","LAT","1","0","Protein","0","NA","false","false","0","0","false","LAT","3","1","1","0","0","0"
"0","NA","0","0","false","0","0","EDARADD","1","0","Protein","0","NF-kappa B signaling pathway","false","false","0","0","false","EDARADD","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","NLRP7","0","1","Protein","0","NOD-like receptor signaling pathway","false","false","0","0","false","NLRP7","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","GRAP2","0","0","Protein","0","T cell receptor signaling pathway","false","false","0","0","false","GRAP2","1","1","0","0","0","0"
"0","NA","0","0","false","0","0","PLCG1","1","0","Protein","0","NA","false","false","0","0","false","PLCG1","3","1","1","0","0","0"
"0","NA","0","0","false","0","0","PYDC1","0","1","Protein","0","NOD-like receptor signaling pathway","false","false","0","0","false","PYDC1","1","0","0","0","0","0"
"0","NA","0","0","false","0","1","TRAF3IP2","0","0","Protein","0","IL-17 signaling pathway","false","false","0","0","false","TRAF3IP2","1","0","0","0","0","0"
"1","NA","0","0","false","0","0","CLEC4D","0","0","Protein","0","C-type lectin receptor signaling pathway","false","false","0","0","false","CLEC4D","1","0","0","0","0","0"
"0","NA","0","0","false","0","1","TRAF6","1","1","Receptor","0","NA","true","false","0","1","false","TRAF6","5","0","0","0","1","0"
"0","NA","0","0","false","0","0","SSH1","0","0","Protein","0","Regulation of actin cytoskeleton","false","false","1","0","false","SSH1","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","LPAR1","0","0","Receptor","0","Regulation of actin cytoskeleton","true","false","1","0","false","LPAR1","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","TYROBP","0","0","Protein","1","Osteoclast differentiation","false","false","0","0","false","TYROBP","1","0","0","0","0","0"
"0","NA","1","0","false","0","0","EDA","1","0","Receptor Ligand","0","NA","false","true","0","0","false","EDA","2","0","0","0","0","0"
"1","TRUE","0","0","false","0","0","SYK","1","0","Protein","1","NA","false","false","0","0","false","SYK","3","0","0","0","0","0"
"0","NA","0","0","false","0","0","TLR5","0","0","Receptor","0","Toll-like receptor signaling pathway","true","false","0","0","false","TLR5","1","0","0","0","1","0"
"0","NA","1","0","false","0","0","EDA2R","1","0","Receptor","0","NA","true","false","0","0","false","EDA2R","2","0","0","0","0","0"
"0","NA","1","0","false","0","0","EDAR","1","0","Receptor","0","NA","true","false","0","0","false","EDAR","2","0","0","0","0","0"
"0","NA","0","0","false","0","0","TLR2","0","0","Receptor","0","Toll-like receptor signaling pathway","true","false","0","0","false","TLR2","1","0","0","0","1","0"
"0","NA","0","0","false","0","0","RAC1","0","0","Protein","1","NA","false","false","1","0","false","RAC1","3","0","0","0","1","0"
"0","NA","0","0","false","0","0","DHX58","0","0","Protein","0","RIG-I-like receptor signaling pathway","false","false","0","1","false","DHX58","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","DIAPH1","0","0","Protein","0","Regulation of actin cytoskeleton","false","false","1","0","false","DIAPH1","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","RNF125","0","0","Protein","0","RIG-I-like receptor signaling pathway","false","false","0","1","false","RNF125","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","OTUD5","0","0","Protein","0","RIG-I-like receptor signaling pathway","false","false","0","1","false","OTUD5","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","PFN","0","0","End point - Regulation of actin cytoskeleton","0","Regulation of actin cytoskeleton","false","false","1","0","false","PFN","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","DNM1L","0","1","End point - Others","0","NA","false","false","0","0","false","DNM1L","2","0","0","1","0","0"
"0","NA","0","0","false","0","0","RPS6KA4","0","0","Protein","0","TNF signaling pathway","false","false","0","0","false","RPS6KA4","1","0","0","1","0","0"
"0","NA","0","0","false","0","0","ERBIN","0","1","Protein","0","NOD-like receptor signaling pathway","false","false","0","0","false","ERBIN","1","0","0","0","0","0"
"0","NA","0","0","true","1","0","CREB3","0","0","End point - TF","0","NA","false","false","0","0","false","CREB3","2","0","0","1","0","0"
"0","NA","0","0","false","0","0","LCP2","0","0","Protein","0","T cell receptor signaling pathway","false","false","0","0","false","LCP2","1","1","0","0","0","0"
"0","NA","0","0","false","0","0","NOD2","0","1","Protein","0","NOD-like receptor signaling pathway","false","false","0","0","false","NOD2","1","0","0","0","0","0"
"0","NA","0","0","false","1","0","HBEGF","0","0","Protein","0","Estrogen signaling pathway","false","false","0","0","false","HBEGF","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","PAK3","0","0","Protein","0","NA","false","false","1","0","false","PAK3","2","1","0","0","0","0"
"0","NA","0","0","false","0","0","LIMK1","0","0","Protein","0","Regulation of actin cytoskeleton","false","false","1","0","false","LIMK1","1","0","0","0","0","0"
"0","NA","0","0","false","1","0","GPER1","0","0","Receptor","0","Estrogen signaling pathway","true","false","0","0","false","GPER1","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","ARHGEF7","0","0","Protein","0","Regulation of actin cytoskeleton","false","false","1","0","false","ARHGEF7","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","SIKE1","0","0","Protein","0","RIG-I-like receptor signaling pathway","false","false","0","1","false","SIKE1","1","0","0","0","0","0"
"0","NA","0","0","false","0","1","TRAF4","0","0","Receptor","0","IL-17 signaling pathway","true","false","0","0","false","TRAF4","1","0","0","0","0","0"
"1","NA","0","0","false","0","0","ARHGEF12","0","0","Protein","0","NA","false","false","1","0","false","ARHGEF12","2","0","0","0","0","0"
"0","NA","0","0","false","0","0","CARD6","0","1","Protein","0","NOD-like receptor signaling pathway","false","false","0","0","false","CARD6","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","ATG12","0","1","Protein","0","NOD-like receptor signaling pathway","false","false","0","0","false","ATG12","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","GABARAP","0","1","End point - Others","0","NOD-like receptor signaling pathway","false","false","0","0","false","GABARAP","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","RBCK1","0","1","Protein","0","NOD-like receptor signaling pathway","false","false","0","0","false","RBCK1","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","RASGRP1","0","0","Protein","0","T cell receptor signaling pathway","false","false","0","0","false","RASGRP1","1","1","0","0","0","0"
"0","NA","0","1","false","0","0","ZBP1","0","0","Protein","0","Cytosolic DNA-sensing pathway","false","false","0","0","false","ZBP1","1","0","0","0","0","0"
"0","NA","0","0","false","1","0","HRAS","0","0","Protein","0","NA","false","false","0","0","false","HRAS","2","1","0","0","0","0"
"1","NA","0","0","false","0","0","CLEC4M","0","0","Protein","0","C-type lectin receptor signaling pathway","false","false","0","0","false","CLEC4M","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","TXNIP","0","1","Protein","0","NOD-like receptor signaling pathway","false","false","0","0","false","TXNIP","1","0","0","0","0","0"
"0","NA","0","0","false","0","0","BAG4","0","0","Protein","0","TNF signaling pathway","false","false","0","0","false","BAG4","1","0","0","1","0","0"
"0","NA","0","0","false","0","0","TXN2","0","1","Protein","0","NOD-like receptor signaling pathway","false","false","0","0","false","TXN2","1","0","0","0","0","0"
"0","NA","1","0","false","0","0","TNFRSF1A","1","0","Receptor","1","NA","true","false","0","0","false","TNFRSF1A","5","0","0","1","0","1"
"0","NA","0","1","false","0","0","RIGI","1","0","Protein","0","NA","false","false","0","1","false","RIGI","3","0","0","0","0","0"
"0","NA","0","0","false","0","0","TLR9","0","0","Receptor","0","Toll-like receptor signaling pathway","true","false","0","0","false","TLR9","1","0","0","0","1","0"
"0","NA","0","0","false","0","0","TRAF2","1","1","Receptor","1","NA","true","false","0","1","false","TRAF2","5","0","0","1","0","0"
"0","NA","0","1","false","0","0","MAVS","0","1","Protein","0","NA","false","false","0","1","false","MAVS","3","0","0","0","0","0"
